x1,y
60001,9800
60002,2500
60003,17999
60004,7550
60005,2500
60006,12500
60007,1400
60008,7000
60009,14999
60010,7999
60011,1400
60012,1800
60013,3850
60014,1500
60015,6300
60016,1199
60017,3390
60018,2499
60019,1500
60020,9800
60021,1990
60022,10500
60023,11000
60024,2390
60025,14300
60026,13400
60027,11299
60028,14900
60029,1200
60030,1600
60031,3350
60032,10200
60033,14700
60034,6799
60035,11919
60036,1100
60037,8400
60038,14900
60039,11550
60040,3400
60041,3000
60042,2000
60043,2390
60044,4800
60045,2650
60046,2300
60047,7950
60048,9790
60049,11700
60050,4950
60051,1600
60052,1200
60053,3200
60054,3250
60055,8250
60056,21500
60057,7000
60058,3600
60059,5600
60060,6250
60061,8450
60062,15500
60063,3400
60064,3200
60065,5500
60066,1490
60067,4300
60068,2238
60069,14500
60070,4199
60071,6999
60072,8100
60073,2250
60074,16500
60075,19900
60076,1650
60077,7900
60078,6500
60079,6500
60080,1450
60081,6800
60082,3999
60083,11500
60084,2400
60085,4800
60086,9499
60087,1999
60088,1190
60089,1200
60090,13980
60091,3200
60092,1990
60093,13800
60094,15750
60095,12000
60096,11800
60097,2900
60098,1999
60099,14800
60100,7500
60101,10100
60102,15500
60103,2300
60104,12999
60105,2100
60106,11850
60107,2650
60108,9500
60109,9250
60110,11000
60111,11500
60112,12790
60113,13750
60114,8200
60115,28300
60116,12800
60117,10490
60118,9000
60119,2250
60120,8400
60121,12990
60122,15900
60123,13499
60124,1300
60125,7990
60126,3500
60127,2200
60128,1200
60129,5500
60130,9000
60131,4600
60132,2700
60133,6999
60134,2999
60135,4800
60136,1800
60137,6800
60138,2800
60139,7500
60140,7000
60141,11200
60142,21500
60143,11500
60144,5900
60145,5499
60146,12900
60147,14800
60148,4100
60149,5900
60150,6800
60151,2300
60152,3999
60153,1400
60154,16700
60155,1799
60156,26500
60157,14500
60158,9490
60159,2990
60160,4500
60161,1250
60162,13500
60163,8500
60164,1600
60165,4000
60166,4200
60167,3280
60168,3200
60169,11890
60170,11000
60171,2800
60172,9950
60173,1250
60174,15900
60175,7350
60176,9300
60177,29700
60178,3200
60179,2800
60180,9100
60181,5900
60182,4000
60183,1850
60184,4600
60185,3500
60186,5400
60187,7999
60188,5950
60189,1212
60190,5100
60191,3200
60192,3800
60193,7900
60194,7500
60195,2100
60196,20900
60197,17800
60198,10900
60199,12500
60200,6299
60201,18500
60202,1300
60203,7777
60204,2000
60205,2800
60206,10999
60207,6199
60208,8350
60209,12400
60210,5200
60211,7500
60212,6100
60213,3899
60214,6300
60215,2950
60216,10550
60217,7900
60218,13990
60219,9000
60220,1240
60221,1600
60222,1899
60223,6600
60224,1999
60225,6950
60226,13499
60227,2399
60228,14200
60229,10800
60230,9700
60231,7500
60232,2000
60233,1780
60234,4950
60235,2699
60236,2490
60237,14990
60238,1900
60239,1100
60240,4900
60241,1600
60242,3999
60243,3450
60244,1999
60245,2400
60246,4900
60247,5790
60248,7000
60249,14990
60250,2700
60251,7500
60252,1200
60253,3599
60254,18999
60255,1740
60256,7999
60257,3800
60258,10999
60259,8000
60260,7500
60261,18000
60262,2300
60263,6400
60264,4499
60265,15900
60266,12899
60267,4150
60268,6200
60269,2999
60270,3500
60271,16400
60272,1700
60273,4090
60274,5799
60275,11500
60276,2000
60277,8888
60278,8250
60279,6550
60280,7999
60281,17999
60282,2900
60283,6800
60284,6350
60285,6500
60286,4999
60287,4350
60288,2000
60289,7990
60290,3250
60291,5800
60292,6200
60293,1900
60294,15900
60295,10500
60296,13500
60297,6500
60298,7900
60299,22222
60300,7150
60301,4800
60302,3999
60303,5490
60304,17900
60305,2399
60306,3799
60307,26950
60308,1850
60309,7500
60310,15700
60311,17900
60312,8200
60313,35890
60314,8990
60315,19600
60316,5900
60317,1999
60318,1001
60319,4200
60320,3100
60321,3400
60322,29999
60323,1490
60324,6750
60325,3000
60326,1699
60327,1950
60328,2450
60329,13790
60330,15500
60331,5999
60332,5999
60333,10000
60334,5299
60335,2190
60336,4200
60337,5599
60338,1999
60339,6350
60340,4600
60341,20000
60342,4500
60343,24500
60344,2000
60345,1600
60346,1599
60347,1850
60348,3499
60349,7000
60350,24950
60351,2699
60352,2900
60353,5250
60354,11390
60355,4300
60356,2899
60357,2990
60358,4499
60359,4950
60360,1100
60361,2600
60362,14000
60363,31500
60364,1500
60365,14700
60366,3999
60367,23500
60368,4100
60369,3490
60370,2490
60371,5500
60372,8500
60373,14990
60374,17299
60375,5800
60376,30990
60377,3750
60378,5000
60379,2650
60380,20500
60381,1990
60382,3200
60383,12190
60384,5500
60385,8100
60386,2450
60387,1699
60388,13000
60389,11900
60390,19999
60391,14850
60392,2950
60393,1500
60394,3800
60395,3000
60396,1540
60397,2000
60398,8999
60399,2900
60400,1650
60401,1050
60402,3200
60403,6066
60404,2179
60405,13750
60406,3333
60407,2890
60408,4400
60409,2400
60410,17500
60411,37000
60412,6500
60413,6790
60414,9199
60415,1450
60416,36500
60417,11700
60418,7500
60419,2400
60420,1550
60421,3900
60422,1400
60423,25999
60424,4900
60425,2400
60426,15500
60427,2500
60428,8550
60429,13000
60430,2800
60431,20800
60432,1450
60433,2200
60434,18000
60435,3300
60436,1860
60437,13500
60438,7300
60439,11850
60440,11990
60441,4500
60442,9000
60443,2500
60444,15000
60445,17499
60446,12499
60447,8500
60448,10999
60449,6690
60450,5200
60451,3500
60452,9800
60453,2250
60454,15000
60455,14900
60456,5200
60457,1599
60458,6299
60459,2750
60460,2250
60461,29500
60462,11111
60463,16800
60464,11650
60465,7000
60466,5200
60467,3850
60468,10950
60469,12900
60470,2000
60471,6880
60472,6400
60473,7200
60474,4500
60475,21500
60476,12900
60477,5900
60478,3399
60479,16900
60480,8450
60481,8499
60482,1800
60483,11300
60484,19990
60485,2800
60486,1899
60487,7890
60488,11999
60489,37000
60490,15000
60491,1399
60492,13500
60493,8750
60494,7900
60495,16899
60496,5000
60497,5200
