"Tweet","Polarity"
"['RT @maithriim: Karma is a bitchன்னு இவ்வளவு சீக்கிரம் நிரூபணம் ஆகும்னு அமித் ஷாவே நினைத்திருக்க மாட்டார். வாழ்க்கை ஒரு வட்டம் தான்.#GoBackM…']","['Positive']"
"['#IndiaVsModi Why I feel like this trend is last more than #GoBackModi hashtag.... they india hate modi so much']","['Positive']"
"['@sumanthraman Getting interesting..... May be Soon, #GoBackModi will be changed as #WelcomeModi  😃😂']","['Negative']"
"['RT @maithriim: Karma is a bitchன்னு இவ்வளவு சீக்கிரம் நிரூபணம் ஆகும்னு அமித் ஷாவே நினைத்திருக்க மாட்டார். வாழ்க்கை ஒரு வட்டம் தான்.#GoBackM…']","['Positive']"
"['RT @maithriim: Karma is a bitchன்னு இவ்வளவு சீக்கிரம் நிரூபணம் ஆகும்னு அமித் ஷாவே நினைத்திருக்க மாட்டார். வாழ்க்கை ஒரு வட்டம் தான்.#GoBackM…']","['Positive']"
"['RT @Th_Robot: அண்ணைக்கு #GoBackModi சொன்னது?\n\n200 ரூபாய்க்கு சார்.\n\nஅப்ப நாளைக்கு #WelcomeAmitShah சொல்ல போறது\n\nஅதுவும் 200 ரூபாய்க்கு சார்…']","['Positive']"
"['அண்ணைக்கு #GoBackModi சொன்னது?\n\n200 ரூபாய்க்கு சார்.\n\nஅப்ப நாளைக்கு #WelcomeAmitShah சொல்ல போறது\n\nஅதுவும் 200 ரூபா… https://t.co/RlZQCWpHJV']","['Positive']"
"['@PTTVOnlineNews நீங்க என்னதான் பேசினாலும் நாங்க #GoBackModi மட்டுந்தான்...உங்க நடிப்பு எங்களுக்குத் தெரியாதா என்ன!']","['Positive']"
"['RT @maithriim: Karma is a bitchன்னு இவ்வளவு சீக்கிரம் நிரூபணம் ஆகும்னு அமித் ஷாவே நினைத்திருக்க மாட்டார். வாழ்க்கை ஒரு வட்டம் தான்.#GoBackM…']","['Positive']"
"['RT @ThimiranVJ: A single image that describes entire issue happening right now in Tamilnadu !\n#GoBackModi https://t.co/DiI1JolHux']","['Positive']"
"['@PTTVOnlineNews சாமி நீ தலைகீழாக நின்று தண்ணி குடிச்சாலும், நாங்க #GoBackModi ன்னுதான் சொல்லுவோம்!!!']","['Positive']"
"['RT @jhambt: #GoBackAmitShah #gobackmodi ட்வீட் போட்டு , கருப்புகொடி காட்டி சீன் போட்ட உ.பிஸ்...காவியோட கூட்டணி சேர்ந்தா என்ன அர்த்தம் தெரி…']","['Positive']"
"['#GoBackAmitShah #gobackmodi ட்வீட் போட்டு , கருப்புகொடி காட்டி சீன் போட்ட உ.பிஸ்...காவியோட கூட்டணி சேர்ந்தா என்ன அர்த்தம் தெரியுமா. 😂😂😂']","['Positive']"
"['RT @tamilamizhthu: நேற்று #Gobackmodi\n\nஇன்று #WelcomeBackAmitshah\n\nதிமுக உபீஸ் 😂😂 | #DMKwedsBJP https://t.co/YEHlvbcNwO']","['Positive']"
"['RT @Satheesh_2017: வெடி சத்தமா \n\nபாஜக வெடிக்கிறதெல்லாம் ஊசி பட்டாசு தான்😂😂😂\n\nTag போடுற மூஞ்சிங்கள பாரு\n\n #Gobackmodi இந்த tag worldwide tre…']","['Positive']"
